episode,train_makespan,train_reward,actor_loss,critic_loss,entropy_loss,eval_makespan,eval_reward,jains_index,task_load_variance,current_lr,exploration_epsilon,total_random_actions,exploration_phase
1,186.46163787693794,-191.02877036341522,0.06139142571191769,3843.931884765625,2.3684111833572388,,,0.993103448275862,0.15999999999999998,2.0000000000000003e-06,0.3,6,early
2,166.8835926736088,-165.1326949686029,0.11921231634914875,2192.0263061523438,2.4890615344047546,,,0.993103448275862,0.15999999999999998,4.000000000000001e-06,0.3,12,early
3,152.7873206136974,-147.8352756178277,0.11239572428166866,1893.2915649414062,2.436400592327118,,,0.993103448275862,0.15999999999999998,6e-06,0.3,19,early
4,174.48023468177044,-175.6360817797279,0.30308331549167633,2924.546630859375,2.49087792634964,,,0.976271186440678,0.5599999999999999,8.000000000000001e-06,0.3,28,early
5,175.61328083988374,-177.41296922936598,0.16447395831346512,3428.4410400390625,2.3561213612556458,,,0.993103448275862,0.15999999999999998,1e-05,0.3,36,early
6,168.0464812548288,-167.12745255513667,0.22737276926636696,2835.0081787109375,2.3560333251953125,,,0.9442622950819672,1.3599999999999999,1.2e-05,0.3,44,early
7,193.19868673685585,-199.00517736073024,0.06750658247619867,4301.2049560546875,2.331708014011383,,,0.993103448275862,0.15999999999999998,1.4000000000000001e-05,0.3,49,early
8,165.30299948850598,-163.63008459983095,0.06095089833252132,2447.9028930664062,2.4213252663612366,,,0.993103448275862,0.15999999999999998,1.6000000000000003e-05,0.3,57,early
9,183.14440840623027,-186.2751457128398,0.4036725964397192,2818.1795043945312,2.6344083547592163,,,0.976271186440678,0.5599999999999999,1.8e-05,0.3,68,early
10,155.65895021304726,-150.03542919087695,0.3508603423833847,2412.165771484375,2.522609293460846,,,0.993103448275862,0.15999999999999998,2e-05,0.24,74,early
11,161.4795791625478,-159.09978028486776,0.6372164189815521,2627.7258911132812,2.389294683933258,,,0.993103448275862,0.15999999999999998,2.2000000000000003e-05,0.24,81,early
12,181.69700110567803,-185.10486844201003,0.22120815888047218,2561.8186645507812,2.508280575275421,,,0.976271186440678,0.5599999999999999,2.4e-05,0.24,88,early
13,172.28027309744894,-171.45796805906394,0.1019056539516896,3169.89208984375,2.3938562870025635,,,0.976271186440678,0.5599999999999999,2.6000000000000002e-05,0.24,92,early
14,186.26993463945252,-190.72097382931543,0.22168733179569244,4416.943115234375,2.33096706867218,,,0.993103448275862,0.15999999999999998,2.8000000000000003e-05,0.24,100,early
15,162.96023500769294,-158.5576003003541,0.440761536359787,2538.4147338867188,2.426662862300873,,,0.976271186440678,0.5599999999999999,3e-05,0.24,106,early
16,165.83187766214272,-165.619595049419,0.13639929704368114,2043.3040771484375,2.4983431696891785,,,0.993103448275862,0.15999999999999998,3.2000000000000005e-05,0.24,112,early
17,187.038904913547,-192.1106773476657,0.25462256744503975,4041.7062377929688,2.3722727298736572,,,0.976271186440678,0.5599999999999999,3.4000000000000007e-05,0.24,121,early
18,167.3054436694191,-165.52695711222557,0.14661901351064444,2344.5527954101562,2.545804500579834,,,0.976271186440678,0.5599999999999999,3.6e-05,0.24,128,early
19,169.3458018054301,-168.58447270308966,1.2029942870140076,2982.72802734375,2.403758704662323,,,0.9442622950819672,1.3599999999999999,3.8e-05,0.24,132,early
20,191.2681940110009,-197.3162341343581,1.3278854861855507,3131.897216796875,2.5843836069107056,,,0.976271186440678,0.5599999999999999,4e-05,0.24,135,early
21,170.70024913647043,-169.8136099186394,0.14810849353671074,2815.7686157226562,2.4378734827041626,,,0.976271186440678,0.5599999999999999,4.2e-05,0.24,144,early
22,173.68803715274325,-175.44716978679844,0.3459388092160225,2473.3392944335938,2.4929593801498413,,,0.976271186440678,0.5599999999999999,4.4000000000000006e-05,0.24,153,early
23,193.0972671975359,-198.97037493251185,0.2162510035559535,3445.4737548828125,2.5596753358840942,,,0.976271186440678,0.5599999999999999,4.600000000000001e-05,0.24,162,early
24,163.51726372619484,-161.18201060612554,0.005814706441015005,2359.0267333984375,2.4085025787353516,,,0.993103448275862,0.15999999999999998,4.8e-05,0.24,169,early
25,162.12992766728544,-159.7432369783009,0.1873603444546461,2523.22412109375,2.446615219116211,175.3774008341008,-176.89876361024196,0.993103448275862,0.15999999999999998,5e-05,0.24,174,early
26,188.6366113696697,-194.25515333178546,0.18820955138653517,3954.532470703125,2.3704413175582886,,,0.976271186440678,0.5599999999999999,5.2000000000000004e-05,0.24,178,early
27,158.70112520361445,-155.32054574669755,0.09267284907400608,2690.4400634765625,2.3728519678115845,,,0.976271186440678,0.5599999999999999,5.4000000000000005e-05,0.24,187,early
28,169.28331057651326,-169.05497844099884,0.17751316167414188,2772.311279296875,2.5693368315696716,,,0.976271186440678,0.5599999999999999,5.6000000000000006e-05,0.24,193,early
29,174.52501568466477,-175.53139456995405,0.050325771095231175,2643.9237060546875,2.5671944618225098,,,0.976271186440678,0.5599999999999999,5.8e-05,0.24,196,early
30,173.7612595107884,-176.1950371108912,0.11506349593400955,2528.7468872070312,2.480456054210663,,,0.993103448275862,0.15999999999999998,6e-05,0.24,202,early
31,161.41271885852126,-158.33014201069645,0.2738801948726177,2975.394287109375,2.4565665125846863,,,0.976271186440678,0.5599999999999999,6.2e-05,0.24,207,early
32,174.61843867935008,-175.93264188355664,0.5013938955962658,1954.841796875,2.593164622783661,,,0.993103448275862,0.15999999999999998,6.400000000000001e-05,0.24,209,early
33,173.24656730987223,-173.7712486593338,0.46543578803539276,2938.86279296875,2.5970864295959473,,,0.993103448275862,0.15999999999999998,6.6e-05,0.24,214,early
34,182.13039217004783,-185.54170692331243,0.27995098382234573,3374.8582153320312,2.4374117255210876,,,0.993103448275862,0.15999999999999998,6.800000000000001e-05,0.24,222,early
35,161.03977399091752,-157.20553665402142,0.17294537276029587,2588.1998291015625,2.4292722940444946,,,0.993103448275862,0.15999999999999998,7e-05,0.24,228,early
36,166.76072592755145,-164.4771922540745,0.20179015770554543,2307.9119262695312,2.557719111442566,,,0.976271186440678,0.5599999999999999,7.2e-05,0.24,236,early
37,159.0380847971726,-156.09064421544247,0.213968638330698,2813.1992797851562,2.38980495929718,,,0.976271186440678,0.5599999999999999,7.4e-05,0.24,240,early
38,171.47036313286605,-172.51090613546688,0.32258372381329536,2927.61572265625,2.4168776273727417,,,0.993103448275862,0.15999999999999998,7.6e-05,0.24,247,early
39,178.62806594597254,-181.81824943268447,0.270911306142807,3350.34912109375,2.4153857231140137,,,0.993103448275862,0.15999999999999998,7.800000000000001e-05,0.24,253,early
